,0,1
1304,0,4
1305,0,0
1306,1,2
1307,0,2
1308,0,4
1309,0,4
1310,0,4
1311,1,8
1312,0,7
1313,0,2
1314,1,2
1315,1,2
1316,0,2
1317,1,7
1318,1,8
1319,1,2
1320,1,2
1321,0,2
1322,0,2
1323,0,4
1324,1,2
1325,1,2
1326,0,2
1327,0,2
1328,0,0
1329,1,2
1330,1,0
1331,1,8
1332,0,2
1333,0,2
1334,0,2
1335,1,9
1336,1,2
1337,1,8
1338,0,4
1339,0,3
1340,1,2
1341,1,2
1342,1,2
1343,0,9
1344,1,6
1345,1,2
1346,1,4
1347,1,0
1348,0,9
1349,0,5
1350,0,9
1351,0,2
1352,1,1
1353,0,9
1354,1,2
1355,0,2
1356,0,9
1357,0,0
1358,0,0
1359,0,4
1360,1,2
1361,1,2
1362,1,2
1363,0,6
1364,1,1
1365,1,1
1366,0,2
1367,1,1
1368,0,2
1369,0,3
1370,1,1
1371,1,1
1372,1,8
1373,0,9
1374,0,2
1375,1,1
1376,1,0
1377,0,2
1378,1,0
1379,0,2
1380,1,2
1381,0,2
1382,1,6
1383,0,6
1384,0,0
1385,0,3
1386,1,2
1387,1,0
1388,0,2
1389,1,1
1390,1,4
1391,1,6
1392,1,0
1393,0,2
1394,0,2
1395,1,7
1396,1,4
1397,0,2
1398,1,8
1399,0,2
1400,0,2
1401,0,2
1402,1,2
1403,1,1
1404,0,6
1405,0,2
1406,0,6
1407,1,2
1408,0,6
1409,0,2
1410,0,2
1411,0,7
1412,0,2
1413,1,7
1414,0,0
1415,0,4
1416,1,2
1417,0,2
1418,0,2
1419,0,4
1420,1,2
1421,1,0
1422,1,0
1423,0,9
1424,0,6
1425,1,8
1426,0,2
1427,1,2
1428,1,1
1429,1,2
1430,0,6
1431,1,8
1432,1,2
1433,0,3
1434,0,2
1435,0,9
1436,1,7
1437,1,2
1438,0,7
1439,1,1
1440,0,2
1441,1,0
1442,0,4
1443,0,6
1444,0,2
1445,1,0
1446,1,0
1447,0,2
1448,1,8
1449,1,0
1450,0,2
1451,1,4
1452,1,6
1453,1,2
1454,0,2
1455,1,2
1456,0,9
1457,1,2
1458,0,2
1459,1,2
1460,0,2
1461,1,2
1462,1,2
1463,0,4
1464,0,5
1465,0,6
1466,1,2
1467,1,2
1468,0,2
1469,1,2
1470,1,8
1471,0,5
1472,0,2
1473,0,0
1474,1,2
1475,1,2
1476,1,8
1477,1,8
1478,1,2
1479,1,2
1480,0,2
1481,1,2
1482,1,6
1483,0,2
1484,1,1
1485,1,8
1486,0,9
1487,0,2
1488,1,8
1489,1,1
1490,1,7
1491,0,2
1492,0,7
1493,0,6
1494,1,2
1495,0,5
1496,0,0
1497,1,7
1498,0,2
1499,0,6
1500,1,8
1501,1,2
1502,0,3
1503,0,6
1504,0,9
1505,0,2
1506,0,6
1507,1,4
1508,1,0
1509,1,2
1510,0,2
1511,0,2
1512,1,5
1513,1,8
1514,1,0
1515,0,0
1516,0,5
1517,1,1
1518,0,7
1519,1,2
1520,0,0
1521,0,0
1522,0,2
1523,1,2
1524,0,4
1525,0,0
1526,1,0
1527,0,0
1528,0,0
1529,0,5
1530,0,2
1531,0,3
1532,1,2
1533,1,1
1534,0,5
1535,0,6
1536,0,4
1537,0,2
1538,0,0
1539,0,2
1540,0,8
1541,1,8
1542,0,4
1543,1,0
1544,1,2
1545,1,2
1546,0,2
1547,0,2
1548,0,2
1549,1,5
1550,1,2
1551,0,0
1552,0,2
1553,0,2
1554,1,0
